impl,Npoints,threads,time_mean_s,time_std_s,pi_mean,err_abs_mean,speedup_abs,speedup_internal,efficiency
seq_prof,1000,1,2.154538181818182e-05,3.8121596746626404e-06,3.139490909090909,0.025718658300254545,1.0,1.0,1.0
seq_prof,10000,1,0.00019566427636363636,2.435305576905896e-05,3.1485076363636364,0.01106606574250909,1.0,1.0,1.0
seq_prof,100000,1,0.0019004431054545454,0.00019649446520671394,3.141611636363636,0.005707384146436363,1.0,1.0,1.0
seq_prof,1000000,1,0.017928730938181817,0.0013095021164680539,3.14148784,0.0006233465015636363,1.0,1.0,1.0
seq_prof,10000000,1,0.1365832775781818,0.004270171375532018,3.141663778909091,0.0005203959038909091,1.0,1.0,1.0
seq_prof,100000000,1,1.2984880931563636,0.04509553866365865,3.141613531927273,0.00012517167640000001,1.0,1.0,1.0
seq_prof,1000000000,1,12.929584727196364,0.4450862946419478,3.14157584304,4.7659064109090905e-05,1.0,1.0,1.0
seq_prof,10000000000,1,129.30500594868727,4.578280168310129,3.1415929885876364,1.4061962e-05,1.0,1.0,1.0
par_prof,1000,1,2.5249345454545454e-05,2.9041076753027023e-06,3.1395636363636363,0.04895959928672727,0.8533045681112166,1.0,1.0
par_prof,1000,2,8.462641818181818e-05,6.6795753748842696e-06,3.131709090909091,0.042414144741272725,0.25459404144804987,0.2983624498947567,0.14918122494737834
par_prof,1000,4,0.00011822765454545454,1.1095527469485878e-05,3.1315636363636363,0.028943450979090908,0.18223639723731766,0.2135654771434033,0.05339136928585082
par_prof,1000,6,0.00016987303636363635,1.3969498826129131e-05,3.1303272727272726,0.025261313841636362,0.12683226413908913,0.14863656996449862,0.024772761660749768
par_prof,1000,8,0.0003455441272727273,0.0007805541468776248,3.105236363636364,0.04319398930090909,0.062352041657408104,0.07307126199432389,0.009133907749290486
par_prof,10000,1,0.00019578716363636363,2.314652684078985e-05,3.1443054545454547,0.01137387759909091,0.9993723425456252,1.0,1.0
par_prof,10000,2,0.00017250916363636363,1.4778739042979812e-05,3.1447345454545457,0.011165372787818182,1.1342254071562365,1.1349377593011134,0.5674688796505567
par_prof,10000,4,0.00019630916363636364,0.0002497218921494115,3.1356654545454545,0.009960564228545455,0.9967149405520273,0.9973409290206802,0.24933523225517004
par_prof,10000,6,0.00021243307272727274,2.3777673261700045e-05,3.132029090909091,0.01463179227509091,0.9210631558054776,0.9216416310454655,0.1536069385075776
par_prof,10000,8,0.001158199,0.0019423021487338444,3.1268145454545455,0.014909284368545455,0.16893839173029537,0.1690444937669292,0.02113056172086615
par_prof,100000,1,0.0018861760909090908,0.00019861494239890162,3.141023272727273,0.00389521331,1.0075639886510162,1.0,1.0
par_prof,100000,2,0.0010363983454545454,9.566727553352783e-05,3.1410312727272727,0.0027558440885454547,1.8336994783806275,1.8199335218755568,0.9099667609377784
par_prof,100000,4,0.0006243226,8.325329083653527e-05,3.1395032727272727,0.0033239334499999998,3.0440081865601942,3.021156195385352,0.755289048846338
par_prof,100000,6,0.0007179666363636364,6.006362658997953e-05,3.137797090909091,0.004920757216909091,2.6469796912568615,2.627108274086679,0.4378513790144465
par_prof,100000,8,0.0008589082727272728,0.0007482678043646832,3.1386414545454544,0.005404927864909091,2.212626383746555,2.1960157455696137,0.2745019681962017
par_prof,1000000,1,0.017473068636363637,0.0016817499561177704,3.1419107636363637,0.0013141238274545454,1.0260779781331535,1.0,1.0
par_prof,1000000,2,0.009236113181818181,0.0008801718689890079,3.1422679272727274,0.0013287895430909092,1.9411553956999523,1.8918205409999063,0.9459102704999531
par_prof,1000000,4,0.004975462927272727,0.0005251449941566391,3.141365381818182,0.0013689825314545454,3.6034297110137152,3.511847820347725,0.8779619550869312
par_prof,1000000,6,0.005667437654545454,0.00045433254728412384,3.1415559272727274,0.001166607724909091,3.163463284647241,3.083063229173719,0.5138438715289532
par_prof,1000000,8,0.004712582909090909,0.0007899966835729761,3.141425381818182,0.0010762048718181818,3.8044383057104447,3.7077477411923807,0.4634684676490476
par_prof,10000000,1,0.1358670294909091,0.003820907049710243,3.1416956218181817,0.0004983934405454546,1.0052716843074916,1.0,1.0
par_prof,10000000,2,0.07327357123636363,0.006809035855224117,3.1418876,0.0005421960325454545,1.8640182984611966,1.8542433130853333,0.9271216565426667
par_prof,10000000,4,0.04218757021818182,0.007585142540573274,3.141578610909091,0.0004499672027272727,3.23752415395845,3.22054644977761,0.8051366124444025
par_prof,10000000,6,0.04501970678181818,0.0018119403284451393,3.1414288509090906,0.00036882799545454547,3.0338553345119257,3.017945677642237,0.5029909462737062
par_prof,10000000,8,0.03682907103636364,0.0030905172093736023,3.141682829090909,0.0002095570769090909,3.7085724329925296,3.6891245330830933,0.46114056663538666
par_prof,100000000,1,1.3025850858727273,0.0554251333354077,3.141613477818182,0.000110013254,0.9968547216141211,1.0,1.0
par_prof,100000000,2,0.6590717416545454,0.022423158799218575,3.141609146181818,7.327344054545454e-05,1.9701771614371086,1.976393469097453,0.9881967345487265
par_prof,100000000,4,0.3742662078181818,0.06262458963807782,3.141634173090909,0.00010812138454545455,3.4694238112652904,3.4803705455169545,0.8700926363792386
par_prof,100000000,6,0.38757827089090907,0.011907127712690601,3.1416241294545455,8.134808854545455e-05,3.3502602975434774,3.360831046793548,0.5601385077989246
par_prof,100000000,8,0.31717956725454544,0.029961563061886468,3.141622808,6.992089036363637e-05,4.093857950547902,4.106774900879307,0.5133468626099134
par_prof,1000000000,1,12.931312951472727,0.41482146328070485,3.141613186618182,4.793348709090909e-05,0.9998663535340264,1.0,1.0
par_prof,1000000000,2,6.543446609436364,0.2664656846884439,3.1415876145454544,4.055099581818182e-05,1.9759593833241478,1.9762234986107112,0.9881117493053556
par_prof,1000000000,4,3.5197213254363637,0.30464934102066704,3.141582197090909,3.698820054545454e-05,3.6734683037991354,3.67395931547778,0.918489828869445
par_prof,1000000000,6,3.370495278836364,0.13989304356965146,3.1416043467636365,3.1392974363636365e-05,3.836108244501146,3.836620995338453,0.6394368325564088
par_prof,1000000000,8,3.1220694148727275,0.1953075247073638,3.141584284872727,2.958588818181818e-05,4.141350818659951,4.141904369541341,0.5177380461926676
par_prof,10000000000,1,129.5602836606909,4.732053245831586,3.1415915552218183,1.709896018181818e-05,0.9980296607510354,1.0,1.0
par_prof,10000000000,2,65.2316115588,2.4452194895119512,3.141597021781818,1.0923470363636363e-05,1.9822445415461074,1.9861579465027448,0.9930789732513724
par_prof,10000000000,4,35.134448890527274,1.8022465996259238,3.1415993537599998,1.7378083454545455e-05,3.680291281971685,3.68755702030158,0.921889255075395
par_prof,10000000000,6,33.84405917358182,1.3789783241211848,3.1415875621309093,1.3215742363636363e-05,3.82061162597248,3.82815438881586,0.63802573146931
par_prof,10000000000,8,31.358171266418182,1.4438156853121962,3.14159195832,1.3702801272727273e-05,4.123486821030327,4.131627528912647,0.5164534411140809
codigo,1000,1,8.946945454545454e-06,1.5709315524488453e-06,3.146181818181818,0.01601681616309091,2.4081271007677585,1.0,1.0
codigo,1000,2,7.419561818181818e-05,8.714422608507659e-06,3.143418181818182,0.012931309804181819,0.2903861757089796,0.12058590080913868,0.06029295040456934
codigo,1000,4,0.00011208472727272728,8.308344041229757e-06,3.1419636363636365,0.012668690195818183,0.19222406426307373,0.0798230559349583,0.019955763983739574
codigo,1000,6,0.00014951207272727272,1.3773512490355663e-05,3.142909090909091,0.013615480452181819,0.14410462931299925,0.059840956595295924,0.009973492765882655
